City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Talas,38.6908,35.5538,8.0,87,75,1.17,TR,1619496195
Märjamaa,58.9039,24.4306,2.22,100,100,0.45,EE,1619496196
Nagorsk,59.3172,50.8078,2.43,94,100,3.41,RU,1619496196
Yar-Sale,66.8333,70.8333,0.43,99,100,5.93,RU,1619496197
Poum,-20.2333,164.0167,24.67,69,51,10.62,NC,1619496197
Richards Bay,-28.783,32.0377,18.46,87,98,2.79,ZA,1619496197
Zhigansk,66.7697,123.3711,-6.5,85,100,6.56,RU,1619496198
Namatanai,-3.6667,152.4333,29.47,69,54,2.2,PG,1619496198
Lompoc,34.6391,-120.4579,11.0,76,6,3.09,US,1619496198
Chui,-33.6971,-53.4616,11.34,84,0,3.27,UY,1619495994
San Patricio,28.017,-97.5169,25.0,83,75,6.17,US,1619496199
Touros,-5.1989,-35.4608,24.0,88,20,1.03,BR,1619496199
Buraidah,26.326,43.975,24.0,53,0,2.06,SA,1619496200
Cabedelo,-6.9811,-34.8339,24.0,94,20,1.54,BR,1619496051
Hermanus,-34.4187,19.2345,16.11,89,99,0.57,ZA,1619496200
Saint-Philippe,-21.3585,55.7679,24.0,88,75,9.26,RE,1619496149
Atuona,-9.8,-139.0333,26.5,74,94,7.8,PF,1619496201
Ahipara,-35.1667,173.1667,17.27,74,69,3.61,NZ,1619496094
Odesa,46.4775,30.7326,6.0,100,90,2.0,UA,1619496093
Cockburn Town,21.4612,-71.1419,25.71,74,1,6.08,TC,1619496202
Bathsheba,13.2167,-59.5167,26.0,65,40,7.72,BB,1619496202
Havre-St-Pierre,50.2334,-63.5986,6.0,100,90,8.23,CA,1619496203
Hervey Bay,-25.2986,152.8535,22.78,63,52,3.58,AU,1619496203
Esperance,-33.8667,121.9,27.0,22,100,7.2,AU,1619496204
Comodoro Rivadavia,-45.8667,-67.5,19.0,42,0,12.86,AR,1619496204
Ambilobe,-13.2,49.05,22.87,87,13,1.42,MG,1619496204
Taltal,-25.4,-70.4833,16.02,84,2,1.18,CL,1619496082
Port Hedland,-20.3167,118.5667,34.0,13,0,6.69,AU,1619496205
Ketchikan,55.3422,-131.6461,9.0,66,1,2.57,US,1619496205
Northam,51.0333,-4.2167,6.11,1,19,1.72,GB,1619496068
Hilo,19.7297,-155.09,24.0,69,1,2.57,US,1619496108
Saskylakh,71.9167,114.0833,-9.5,86,39,3.15,RU,1619496206
Port Alfred,-33.5906,26.891,19.08,90,92,7.49,ZA,1619496150
Cape Town,-33.9258,18.4232,17.0,94,90,1.54,ZA,1619496206
Itaituba,-4.2761,-55.9836,22.64,99,100,0.39,BR,1619496207
San Policarpo,12.1791,125.5072,27.19,75,35,4.02,PH,1619496207
Launceston,-41.45,147.1667,19.44,42,67,2.57,AU,1619496159
Gushikawa,26.3544,127.8686,25.0,47,40,6.17,JP,1619496208
Ardmore,34.1743,-97.1436,22.22,68,1,6.17,US,1619496146
Cayenne,4.9333,-52.3333,24.44,100,75,0.51,GF,1619496006
Nadym,65.5333,72.5167,1.65,99,100,6.49,RU,1619496208
Balāngīr,20.7167,83.4833,37.06,21,56,3.36,IN,1619496209
Marsá Maţrūḩ,31.3525,27.2453,12.0,87,0,2.06,EG,1619496209
Baie-Comeau,49.2168,-68.1489,7.0,76,90,5.14,CA,1619496210
Kapuskasing,49.4169,-82.4331,4.0,45,100,3.6,CA,1619496210
Opuwo,-18.0607,13.84,15.76,63,5,0.51,NA,1619496210
Aksarka,66.5606,67.7975,0.87,99,100,3.02,RU,1619496211
Addis Ababa,9.025,38.7469,12.6,90,100,1.24,ET,1619496211
Mahébourg,-20.4081,57.7,24.0,94,75,5.66,MU,1619496212
Pamekasan,-7.1568,113.4746,29.41,66,26,3.69,ID,1619496212
Ancud,-41.8697,-73.8203,13.33,100,90,3.6,CL,1619496213
Puerto Carreño,6.189,-67.4859,26.67,78,88,2.73,CO,1619496200
Bengkulu,-3.8004,102.2655,29.28,65,27,2.41,ID,1619496213
Saint-Pierre,-21.3393,55.4781,24.0,88,75,9.26,RE,1619496213
Pangody,65.85,74.4859,1.02,99,100,6.45,RU,1619496214
Srednekolymsk,67.45,153.6833,-1.33,78,55,2.94,RU,1619496214
Clyde River,70.4692,-68.5914,-4.0,100,90,1.54,CA,1619496215
Gamba,-2.65,10.0,25.12,90,100,1.65,GA,1619496184
São Filipe,14.8961,-24.4956,22.59,74,93,4.39,CV,1619496215
Acapulco de Juárez,16.8634,-99.8901,26.58,65,91,2.22,MX,1619496005
Valle de Allende,26.9333,-105.4,23.75,10,100,5.91,MX,1619496216
Kamina,-8.7386,24.9906,17.96,94,99,1.1,CD,1619496216
Fukuechō,32.6881,128.8419,19.0,82,75,8.23,JP,1619496216
Blagoyevo,63.3667,47.9167,3.13,97,100,2.23,RU,1619496217
Westport,41.1415,-73.3579,9.0,37,1,2.52,US,1619496204
Jurm,36.8648,70.8342,18.15,31,4,2.27,AF,1619496217
Ilulissat,69.2167,-51.1,2.0,75,40,3.6,GL,1619496161
Chabahar,25.2919,60.643,29.76,51,2,4.11,IR,1619496218
Dingle,10.9995,122.6711,31.5,52,39,4.89,PH,1619496218
Husavik,66.0449,-17.3389,-2.0,93,0,1.54,IS,1619496219
Abong Mbang,3.9833,13.1833,19.38,97,98,0.42,CM,1619496219
Palafrugell,41.9174,3.1631,12.78,93,90,1.03,ES,1619496205
Puerto Ayacucho,5.6639,-67.6236,24.27,91,87,2.07,VE,1619496044
Leningradskiy,69.3833,178.4167,0.24,87,97,1.68,RU,1619496220
Lewistown,40.5992,-77.5714,6.67,70,1,1.09,US,1619496220
Chokurdakh,70.6333,147.9167,-2.27,84,95,1.42,RU,1619496072
Cabo San Lucas,22.8909,-109.9124,23.0,43,90,8.49,MX,1619496098
Batticaloa,7.7102,81.6924,29.13,68,25,1.24,LK,1619496221
Thompson,55.7435,-97.8558,5.0,65,90,8.75,CA,1619496018
Naranjal,-2.6667,-79.6167,25.0,83,75,4.63,EC,1619496221
Padre Bernardo,-15.35,-48.5,19.98,83,53,0.84,BR,1619496222
Lensk,60.7253,114.9278,-3.0,62,100,3.44,RU,1619496222
Karratha,-20.7377,116.8463,32.46,15,0,6.0,AU,1619496135
Nouadhibou,20.931,-17.0347,18.0,94,0,5.14,MR,1619496223
Anadyr,64.75,177.4833,0.0,86,0,4.0,RU,1619496069
Gelnica,48.8558,20.9371,4.0,60,0,4.63,SK,1619496223
Tangier,35.7806,-5.8137,17.0,94,75,3.6,MA,1619496224
Mareeba,-17.0,145.4333,28.0,65,75,8.23,AU,1619496224
Vila Velha,-20.3297,-40.2925,24.0,94,40,2.41,BR,1619496224
Norman Wells,65.282,-126.8329,-8.0,35,40,2.06,CA,1619496225
Mossamedes,-15.1961,12.1522,23.35,73,14,2.9,AO,1619496225
Moreira Sales,-24.0622,-53.0069,12.8,73,0,1.55,BR,1619496225
Lagoa,39.05,-27.9833,15.05,88,100,5.95,PT,1619496013
Spas-Klepiki,55.1347,40.1767,4.23,87,100,4.31,RU,1619496226
Beira,-19.8436,34.8389,24.0,94,90,2.58,MZ,1619496226
La Libertad,-2.2333,-80.9,23.33,87,100,3.82,EC,1619496227
Hasaki,35.7333,140.8333,18.33,51,75,4.63,JP,1619496227
Lorengau,-2.0226,147.2712,28.98,70,38,1.3,PG,1619496152
Barrow,71.2906,-156.7887,-7.0,79,75,6.69,US,1619496099
Saint Thomas,13.1833,-59.5833,26.0,65,40,6.69,BB,1619496228
Camacha,33.0833,-16.3333,16.0,82,20,4.12,PT,1619496129
Auch,43.65,0.5833,11.11,97,100,1.53,FR,1619496228
Pullman,46.7313,-117.1796,10.0,43,75,2.57,US,1619496228
Hīt,33.6416,42.8251,23.03,30,53,7.54,IQ,1619496229
Isangel,-19.55,169.2667,28.0,74,75,4.12,VU,1619496174
Olinda,-8.0089,-34.8553,26.0,69,40,2.57,BR,1619496229
Tual,-5.6667,132.75,28.4,56,13,0.9,ID,1619496070
Bethel,41.3712,-73.414,6.67,52,1,2.06,US,1619496097
Iqaluit,63.7506,-68.5145,-7.0,86,90,7.2,CA,1619496162
Tiksi,71.6872,128.8694,-8.2,83,100,4.57,RU,1619496230
Mirny,62.5353,113.9611,-4.69,56,74,4.77,RU,1619496231
Masoko,-9.3333,33.75,18.63,93,97,0.89,TZ,1619496231
Te Anau,-45.4167,167.7167,7.16,66,69,0.91,NZ,1619496058
Mokhsogollokh,61.4681,128.9203,0.73,75,100,3.83,RU,1619496231
Menongue,-14.6585,17.691,15.63,68,49,0.51,AO,1619496232
Aleksandrov Gay,50.147,48.5704,7.08,81,100,1.33,RU,1619496232
Kyshtym,55.714,60.5528,7.4,45,80,2.63,RU,1619496233
Chicama,-7.8447,-79.1469,19.87,83,16,2.91,PE,1619496127
San Cristobal,7.7669,-72.225,21.62,79,100,0.31,VE,1619496233
Vardø,70.3705,31.1107,-1.0,74,75,2.57,NO,1619496233
Magdagachi,53.45,125.8,12.02,51,93,4.67,RU,1619496234
Tura,25.5198,90.2201,34.18,29,50,2.81,IN,1619496234
Kieta,-6.2167,155.6333,28.91,75,83,0.85,PG,1619496234
Talnakh,69.4865,88.3972,-6.35,76,60,5.04,RU,1619496235
Colombo,6.9319,79.8478,31.0,70,40,3.09,LK,1619496210
Yerbogachën,61.2767,108.0108,-2.59,52,76,3.13,RU,1619496235
Provideniya,64.3833,-173.3,4.0,65,0,1.64,RU,1619496054
Iquitos,-3.7481,-73.2472,25.0,94,75,2.06,PE,1619496087
Aklavik,68.2191,-135.0107,-5.0,42,62,2.57,CA,1619496236
Carson City,39.1638,-119.7674,6.0,39,1,2.57,US,1619496237
Tsumeb,-19.2333,17.7167,17.1,37,4,2.52,NA,1619496237
Damietta,31.4165,31.8133,18.0,72,0,2.06,EG,1619496237
Changchun,43.88,125.3228,16.0,48,40,8.0,CN,1619496238
Ostrovnoy,68.0531,39.5131,-1.1,70,100,5.12,RU,1619496238
Asău,46.4333,26.4,5.0,67,100,1.13,RO,1619496238
Roald,62.5833,6.1333,3.0,70,99,5.66,NO,1619496178
Betsiamites,48.9413,-68.646,7.0,76,90,5.14,CA,1619496239
Fort Nelson,58.8053,-122.7002,-6.0,86,90,4.12,CA,1619495970
Kuminskiy,58.6667,66.5667,7.6,55,27,5.71,RU,1619496239
Tuktoyaktuk,69.4541,-133.0374,-12.0,72,1,5.66,CA,1619496081
Yangi Marg`ilon,40.4272,71.7189,23.0,33,0,1.03,UZ,1619496240
Basoko,1.2391,23.616,21.5,95,93,1.38,CD,1619496240
Faanui,-16.4833,-151.75,27.38,70,59,3.4,PF,1619496106
Greencastle,39.6445,-86.8647,20.0,45,1,7.2,US,1619496241
Otukpo,7.1913,8.1329,24.76,86,100,3.14,NG,1619496241
Lālmohan,22.3384,90.7419,31.63,57,14,4.92,BD,1619496242
Departamento de Maldonado,-34.6667,-54.9167,17.22,63,40,5.14,UY,1619496086
Linxia Chengguanzhen,35.6003,103.2064,9.64,34,99,2.0,CN,1619496242
Mount Isa,-20.7333,139.5,32.0,27,40,4.63,AU,1619496243
Bariloche,-41.1456,-71.3082,7.22,56,0,3.09,AR,1619495968
Sibolga,1.7427,98.7792,28.42,73,97,1.07,ID,1619496243
Lobito,-12.3481,13.5456,26.41,72,81,1.22,AO,1619496243
Aykhal,66.0,111.5,-8.41,82,99,5.31,RU,1619496244
Katobu,-4.9408,122.5276,31.5,54,50,1.12,ID,1619496244
Hambantota,6.1241,81.1185,30.0,84,40,2.57,LK,1619496186
Port Macquarie,-31.4333,152.9167,22.22,61,1,0.89,AU,1619496057
Airai,-8.9266,125.4092,24.1,36,64,0.86,TL,1619496042
Souillac,-20.5167,57.5167,24.0,94,75,5.66,MU,1619496108
Shaowu,27.3409,117.4831,19.4,94,100,0.21,CN,1619496245
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,13.89,91,0,1.5,AR,1619496246
Piney Green,34.716,-77.3202,18.33,82,1,2.17,US,1619496246
Dubovskoye,47.4092,42.7575,6.63,90,39,5.62,RU,1619496246
Hong Kong,22.2855,114.1577,23.89,92,100,1.34,HK,1619496169
Conde,-7.2597,-34.9075,24.0,94,20,1.03,BR,1619496247
Kaitangata,-46.2817,169.8464,7.22,78,99,4.02,NZ,1619496072
Punta Alta,-38.8759,-62.0736,13.77,71,0,4.46,AR,1619496247
Hołoby,51.0865,25.0077,0.56,84,61,1.96,UA,1619496248
Tanout,14.9709,8.8879,27.58,12,0,4.64,NE,1619496248
Port Elizabeth,-33.918,25.5701,18.0,72,20,7.2,ZA,1619496061
Riyadh,24.6877,46.7219,25.0,22,0,3.88,SA,1619495955
Laguna,38.421,-121.4238,14.44,51,1,2.57,US,1619496091
Taitung City,22.7583,121.1444,26.0,61,75,2.06,TW,1619496249
Buala,-8.145,159.5921,27.65,76,100,1.14,SB,1619496250
Longyearbyen,78.2186,15.6401,-8.0,62,20,5.66,SJ,1619496250
Pochutla,15.7432,-96.4661,27.22,81,8,0.89,MX,1619496162
Adrar,20.5022,-10.0711,25.17,22,12,3.98,MR,1619496251
Mersing,2.4312,103.8405,32.0,70,40,1.54,MY,1619496251
Maniitsoq,65.4167,-52.9,0.14,94,100,5.18,GL,1619496251
Safaga,26.7292,33.9365,21.0,52,0,5.66,EG,1619496252
Ambam,2.3833,11.2833,20.65,99,95,0.95,CM,1619496252
Teya,60.3778,92.6267,6.55,64,39,3.64,RU,1619496252
Hay River,60.8156,-115.7999,-13.0,61,93,2.06,CA,1619496138
Sagua la Grande,22.8067,-80.0756,24.0,88,20,1.03,CU,1619496253
Prado,-17.3411,-39.2208,23.51,84,19,3.27,BR,1619496081
Kahului,20.8947,-156.47,25.0,83,20,3.09,US,1619496253
Cardston,49.2,-113.3019,8.0,46,16,4.12,CA,1619496254
Yumbing,9.2393,124.6578,28.3,72,35,5.54,PH,1619496254
Farafangana,-22.8167,47.8333,22.08,90,56,1.56,MG,1619496254
Timrå,62.487,17.3257,0.56,80,90,1.03,SE,1619496255
Ust'-Ishim,57.6935,71.1665,10.54,37,43,4.53,RU,1619496255
Ironton,38.5368,-82.6829,11.67,93,1,1.54,US,1619496256
Galesong,-5.3166,119.3661,32.0,62,20,3.6,ID,1619496256
Krasnotorka,48.682,37.5327,3.68,77,4,3.21,UA,1619496256
Rapid City,44.0805,-103.231,11.11,87,90,5.66,US,1619496257
Lugoba,-6.45,38.3333,21.15,98,100,1.55,TZ,1619496257
Sasolburg,-26.8136,27.817,9.83,33,33,1.13,ZA,1619496258
Yulara,-25.2406,130.9889,25.0,22,0,5.66,AU,1619496172
Chumikan,54.7183,135.315,1.33,86,100,4.99,RU,1619496258
Marawi,7.9986,124.2928,28.33,80,96,2.68,PH,1619496144
Anito,12.4497,125.2886,27.63,72,69,3.96,PH,1619496259
Uni,57.7535,51.4923,3.7,75,1,4.29,RU,1619496259
Natal,-5.795,-35.2094,26.0,78,20,3.6,BR,1619496156
Oyón,-10.6681,-76.7731,4.98,86,47,0.37,PE,1619496259
Kulevcha,46.0303,29.9361,8.56,85,100,5.6,UA,1619496260
Puerto Lleras,3.0223,-73.4044,22.74,97,100,0.49,CO,1619496260
Egvekinot,66.3167,-179.1667,-3.24,93,92,1.41,RU,1619496129
Arman',59.7,150.1667,-2.87,72,33,2.04,RU,1619496261
Pevek,69.7008,170.3133,-3.14,93,100,1.41,RU,1619496137
Paracuru,-3.41,-39.0306,27.78,76,42,7.6,BR,1619496261
Portland,45.5234,-122.6762,11.67,69,88,0.92,US,1619496062
Salalah,17.0151,54.0924,29.0,70,20,1.03,OM,1619496262
Harper,4.375,-7.7169,26.46,84,33,2.39,LR,1619496262
Mendota,36.7536,-120.3816,14.0,44,1,4.12,US,1619496263
Lavrentiya,65.5833,-171.0,0.31,89,9,0.95,RU,1619496263
Philadelphia,39.9523,-75.1638,10.0,61,1,1.42,US,1619496218
Lata,40.1629,-8.3327,12.22,96,75,0.72,PT,1619496264
Meulaboh,4.1363,96.1285,29.45,67,98,1.82,ID,1619496264
Bilma,18.6853,12.9164,27.97,13,0,4.28,NE,1619496264
Bonthe,7.5264,-12.505,25.93,85,55,1.83,SL,1619496265
Kloulklubed,7.0419,134.2556,28.0,83,90,4.63,PW,1619496202
Jacksonville,30.3322,-81.6556,21.11,78,75,2.57,US,1619496034
Necochea,-38.5473,-58.7368,11.42,84,0,3.53,AR,1619496028
Martapura,-3.4167,114.85,32.0,62,40,1.03,ID,1619496266
Verāval,20.9,70.3667,30.23,57,42,5.0,IN,1619496266
Vestmanna,62.1564,-7.1664,3.0,87,40,8.75,FO,1619496266
Naze,28.3667,129.4833,24.0,57,20,4.63,JP,1619496267
Cairns,-16.9167,145.7667,27.0,69,75,8.75,AU,1619496240
Develi,38.3906,35.4922,8.0,87,75,0.82,TR,1619496267
Ārvi,20.9833,78.2333,35.72,22,98,5.7,IN,1619496268
Torbay,47.6666,-52.7314,6.11,100,90,10.29,CA,1619496065
Sittwe,20.15,92.9,30.5,61,29,4.04,MM,1619496268
Hella,67.2,14.4333,1.67,86,40,0.51,NO,1619496268
Safi,32.2994,-9.2372,17.17,86,86,6.12,MA,1619496269
Carballo,43.213,-8.691,12.78,95,98,1.17,ES,1619496269
Guerrero Negro,27.9769,-114.0611,15.48,77,100,7.08,MX,1619496270
Port Blair,11.6667,92.75,30.55,59,88,0.5,IN,1619496270
Camocim,-2.9022,-40.8411,24.35,91,46,3.27,BR,1619496270
Erenhot,43.6475,111.9767,8.29,19,93,11.02,CN,1619496271
Evensk,61.95,159.2333,-3.96,80,54,1.82,RU,1619496271
Rzeszów,50.0413,21.999,-2.22,93,0,1.03,PL,1619495705
Liseleje,56.0053,11.9483,2.78,77,0,1.34,DK,1619496271
Cidreira,-30.1811,-50.2056,16.16,79,1,4.21,BR,1619496179
Amapá,1.0,-52.0,21.78,99,100,0.8,BR,1619496167
Havelock,34.8791,-76.9013,17.78,87,1,2.06,US,1619496272
Batié,9.8833,-2.9167,26.32,71,91,2.51,BF,1619496273
Marzuq,14.4,46.4667,22.37,58,97,0.58,YE,1619496273
Kalulushi,-12.8378,28.0919,17.22,89,98,1.43,ZM,1619496273
Ola,59.5833,151.2833,-3.3,74,51,2.33,RU,1619496274
Bolgatanga,10.7856,-0.8514,29.49,54,74,4.24,GH,1619496274
Pachino,36.7186,15.0907,13.0,82,94,2.06,IT,1619496274
Wiarton,44.7407,-81.1332,2.78,86,90,3.6,CA,1619496275
Matagami,49.7502,-77.6328,-3.0,86,1,1.03,CA,1619496207
Bereket,39.2446,55.5154,29.98,19,89,0.71,TM,1619496275
Marsh Harbour,26.5412,-77.0636,23.16,70,10,9.15,BS,1619496276
Presidente Epitácio,-21.7633,-52.1156,17.19,67,5,2.47,BR,1619496276
Klaksvík,62.2266,-6.589,3.0,87,40,8.75,FO,1619496276
Tarata,-17.6167,-66.0167,14.0,62,3,4.12,BO,1619496277
Nizhniy Ingash,56.2,96.53,4.38,93,100,1.78,RU,1619496277
Auka,14.9333,-83.8333,22.49,85,68,1.36,HN,1619496277
Tarakan,3.3,117.6333,29.0,79,75,3.6,ID,1619496278
Jardim,-21.4803,-56.1381,14.89,65,0,1.99,BR,1619496278
Port Hardy,50.6996,-127.4199,10.0,87,75,1.03,CA,1619496209
Matara,5.9485,80.5353,29.43,71,80,2.42,LK,1619496279
Kavaratti,10.5669,72.642,29.25,72,11,3.2,IN,1619496098
Katsuura,35.1333,140.3,21.0,35,40,1.54,JP,1619496143
Sambava,-14.2667,50.1667,23.74,90,59,3.48,MG,1619496130
Udachny,66.4167,112.4,-6.91,78,95,6.37,RU,1619496279
Sawākin,19.1059,37.3321,28.27,70,0,1.33,SD,1619496280
Kruisfontein,-34.0033,24.7314,16.11,87,41,1.34,ZA,1619496280
Bolobo,-2.1667,16.2333,22.97,85,53,0.76,CD,1619496280
Saint George,37.1041,-113.5841,12.78,62,40,4.12,US,1619496057
Nyurba,63.2842,118.3319,-3.92,58,100,4.52,RU,1619496281
Takoradze,4.8845,-1.7554,26.68,87,100,3.0,GH,1619496281
Malinovoye Ozero,51.6753,79.7825,11.04,87,100,3.56,RU,1619496282
Saint-Prosper,46.2117,-70.4811,1.0,75,20,3.09,CA,1619496282
Dukat,62.55,155.55,-4.58,64,2,2.05,RU,1619496282
Vostok,46.4856,135.8833,16.61,24,100,2.77,RU,1619496283
San Quintín,30.4833,-115.95,13.64,80,90,3.99,MX,1619496283
Victoria Point,-27.5833,153.3,25.0,56,1,2.68,AU,1619496284
Warrnambool,-38.3833,142.4833,15.56,83,85,2.51,AU,1619496284
Molokovo,58.1661,36.7628,0.99,83,100,3.2,RU,1619496284
Lumsden,50.6501,-104.8678,3.0,65,20,4.12,CA,1619496022
Kaeo,-35.1,173.7833,18.33,78,48,0.89,NZ,1619496285
Champerico,14.3,-91.9167,22.22,94,6,1.16,GT,1619496285
Tūkrah,32.5341,20.5791,16.41,57,23,3.49,LY,1619496286
Port Keats,-14.25,129.55,30.64,61,90,2.36,AU,1619496286
Al Bardīyah,31.7561,25.0865,14.32,76,1,1.43,LY,1619496286
Bend,44.0582,-121.3153,6.0,61,1,3.09,US,1619496002
Marau,-28.4492,-52.2,9.09,90,0,1.03,BR,1619496287
Puerto Cabezas,14.0351,-83.3888,24.56,80,7,3.76,NI,1619496287
Umm Kaddadah,13.6017,26.6876,24.22,12,24,4.44,SD,1619496288
Vao,-22.6667,167.4833,22.8,66,7,8.91,NC,1619496188
Vanavara,60.34,102.2797,-0.6,54,20,1.17,RU,1619496288
Nelson Bay,-32.7167,152.15,21.11,60,40,3.6,AU,1619496289
Maceió,-9.6658,-35.7353,23.0,94,20,0.51,BR,1619496290
Meadow Lake,34.8014,-106.5436,20.0,10,75,3.09,US,1619496022
Grindavik,63.8424,-22.4338,6.0,100,75,1.54,IS,1619496290
Olafsvik,64.8945,-23.7142,5.7,80,0,2.97,IS,1619496290
